Episode,Revenue,Reward,Bookings,Inventory_Left
230,103000,1035.0,27,73
231,113000,1115.0,28,72
232,112500,1112.5,28,72
233,96000,900.0,24,76
234,97000,915.0,24,76
235,101500,1057.5,28,72
236,105000,1005.0,26,74
237,105000,1005.0,26,74
238,100500,962.5,25,75
239,113000,1105.0,28,72
240,105500,1107.5,29,71
241,117000,1165.0,29,71
242,121000,1215.0,30,70
243,117000,1165.0,29,71
244,112500,1112.5,28,72
245,105000,1015.0,26,74
246,117000,1165.0,29,71
247,110000,1160.0,30,70
248,113000,1115.0,28,72
249,121000,1215.0,30,70
250,117000,1165.0,29,71
251,113000,1115.0,28,72
252,96500,902.5,24,76
253,109000,1065.0,27,73
254,121000,1215.0,30,70
255,117000,1165.0,29,71
256,108500,1062.5,27,73
257,109000,1065.0,27,73
258,113000,1115.0,28,72
259,117000,1165.0,29,71
260,96500,912.5,24,76
261,117000,1165.0,29,71
262,108500,1062.5,27,73
263,86000,850.0,24,76
264,105500,1107.5,29,71
265,100000,980.0,26,74
266,113000,1115.0,28,72
267,101500,1057.5,28,72
268,113000,1115.0,28,72
269,111500,1107.5,28,72
270,113000,1115.0,28,72
271,104500,1042.5,27,73
272,113000,1115.0,28,72
273,113000,1115.0,28,72
274,99500,977.5,26,74
275,99000,985.0,26,74
276,92500,892.5,24,76
277,117000,1165.0,29,71
278,97500,1007.5,27,73
279,113000,1115.0,28,72
280,97500,1007.5,27,73
281,117000,1165.0,29,71
282,112500,1112.5,28,72
283,109000,1065.0,27,73
284,100500,1052.5,28,72
285,113000,1115.0,28,72
286,101000,965.0,25,75
287,117000,1165.0,29,71
288,105000,1015.0,26,74
289,116500,1162.5,29,71
290,112500,1102.5,28,72
291,113000,1115.0,28,72
292,109000,1065.0,27,73
293,107000,1055.0,27,73
294,116500,1162.5,29,71
295,94000,960.0,26,74
296,113000,1115.0,28,72
297,116500,1162.5,29,71
298,85500,827.5,23,77
299,105000,1015.0,26,74
300,116500,1162.5,29,71
301,112500,1112.5,28,72
302,97000,915.0,24,76
303,112500,1112.5,28,72
304,121000,1215.0,30,70
305,102500,1062.5,28,72
306,108000,1060.0,27,73
307,117000,1165.0,29,71
308,117000,1165.0,29,71
309,100500,962.5,25,75
310,108500,1062.5,27,73
311,102500,1002.5,26,74
312,108500,1062.5,27,73
313,113000,1115.0,28,72
314,112500,1112.5,28,72
315,113000,1115.0,28,72
316,112500,1112.5,28,72
317,117000,1165.0,29,71
318,93000,925.0,25,75
319,117000,1165.0,29,71
320,105000,1005.0,26,74
321,93000,895.0,24,76
322,112500,1112.5,28,72
323,113500,1177.5,30,70
324,121000,1215.0,30,70
325,112500,1112.5,28,72
326,108500,1062.5,27,73
327,108000,1060.0,27,73
328,119500,1207.5,30,70
329,117000,1165.0,29,71
330,104500,1012.5,26,74
331,112500,1112.5,28,72
332,106000,1070.0,28,72
333,117000,1165.0,29,71
334,115500,1157.5,29,71
335,113000,1115.0,28,72
336,121000,1215.0,30,70
337,113000,1115.0,28,72
338,96500,912.5,24,76
339,113000,1115.0,28,72
340,113000,1115.0,28,72
341,104500,1012.5,26,74
342,116500,1162.5,29,71
343,97000,905.0,24,76
344,104500,1012.5,26,74
345,117000,1165.0,29,71
346,109500,1157.5,30,70
347,95000,895.0,24,76
348,104500,1012.5,26,74
349,105000,1015.0,26,74
350,117000,1165.0,29,71
351,113000,1115.0,28,72
352,101000,965.0,25,75
353,112500,1112.5,28,72
354,108000,1090.0,28,72
355,113000,1115.0,28,72
356,117000,1165.0,29,71
357,116500,1162.5,29,71
358,117000,1165.0,29,71
359,112500,1112.5,28,72
360,102000,1050.0,28,72
361,93500,917.5,25,75
362,117000,1165.0,29,71
363,110500,1092.5,28,72
364,108500,1062.5,27,73
365,121000,1215.0,30,70
366,112500,1102.5,28,72
367,103000,1065.0,28,72
368,112000,1110.0,28,72
369,90500,912.5,25,75
370,100500,962.5,25,75
371,112500,1112.5,28,72
372,97000,915.0,24,76
373,105000,1015.0,26,74
374,117000,1165.0,29,71
375,117000,1165.0,29,71
376,104500,1012.5,26,74
377,113000,1115.0,28,72
378,121000,1215.0,30,70
379,103000,995.0,26,74
380,88500,902.5,25,75
